"Notes"	"State"	"State Code"	"County"	"County Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Vascular dementia, unspecified"	"F01.9"	14	975679	Unreliable
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Unspecified dementia"	"F03"	190	975679	19.5
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Vascular dementia, unspecified"	"F01.9"	67	3316841	2.0
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Unspecified dementia"	"F03"	1309	3316841	39.5
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	20	3316841	0.6
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	26	3316841	0.8
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	49	3316841	1.5
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Vascular dementia, unspecified"	"F01.9"	15	524875	Unreliable
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"Unspecified dementia"	"F03"	121	524875	23.1
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Unspecified dementia"	"F03"	92	420148	21.9
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Vascular dementia, unspecified"	"F01.9"	22	1055789	2.1
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Unspecified dementia"	"F03"	246	1055789	23.3
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	31	1055789	2.9
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"Unspecified dementia"	"F03"	26	207893	12.5
	"Alabama"	"01"	"Butler County, AL"	"01013"	"Unspecified dementia"	"F03"	123	393446	31.3
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Vascular dementia, unspecified"	"F01.9"	187	2189206	8.5
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Unspecified dementia"	"F03"	534	2189206	24.4
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Vascular dementia, unspecified"	"F01.9"	12	662645	Unreliable
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Unspecified dementia"	"F03"	237	662645	35.8
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"Vascular dementia, unspecified"	"F01.9"	14	480944	Unreliable
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"Unspecified dementia"	"F03"	129	480944	26.8
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Vascular dementia, unspecified"	"F01.9"	15	807006	Unreliable
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Unspecified dementia"	"F03"	226	807006	28.0
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"Unspecified dementia"	"F03"	76	271266	28.0
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"Unspecified dementia"	"F03"	93	496992	18.7
	"Alabama"	"01"	"Clay County, AL"	"01027"	"Unspecified dementia"	"F03"	75	264370	28.4
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"Unspecified dementia"	"F03"	58	278629	20.8
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Vascular dementia, unspecified"	"F01.9"	17	909426	Unreliable
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Unspecified dementia"	"F03"	203	909426	22.3
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	31	909426	3.4
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Vascular dementia, unspecified"	"F01.9"	22	1035363	2.1
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Unspecified dementia"	"F03"	452	1035363	43.7
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"Unspecified dementia"	"F03"	47	252529	18.6
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"Unspecified dementia"	"F03"	103	215538	47.8
	"Alabama"	"01"	"Covington County, AL"	"01039"	"Unspecified dementia"	"F03"	120	712542	16.8
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"Unspecified dementia"	"F03"	70	263078	26.6
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Vascular dementia, unspecified"	"F01.9"	31	1513843	2.0
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Unspecified dementia"	"F03"	508	1513843	33.6
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	32	1513843	2.1
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Vascular dementia, unspecified"	"F01.9"	11	940798	Unreliable
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Unspecified dementia"	"F03"	190	940798	20.2
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Multi-infarct dementia"	"F01.1"	17	829613	Unreliable
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Unspecified dementia"	"F03"	187	829613	22.5
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	21	829613	2.5
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Vascular dementia, unspecified"	"F01.9"	38	1309494	2.9
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Unspecified dementia"	"F03"	274	1309494	20.9
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Vascular dementia, unspecified"	"F01.9"	26	1436208	1.8
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Unspecified dementia"	"F03"	344	1436208	24.0
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"Vascular dementia, unspecified"	"F01.9"	19	720896	Unreliable
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"Unspecified dementia"	"F03"	241	720896	33.4
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Vascular dementia, unspecified"	"F01.9"	85	1967533	4.3
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Unspecified dementia"	"F03"	767	1967533	39.0
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	45	1967533	2.3
